mean_depth,0.025,0.075,0.125,0.175,0.225,0.275,0.325,0.375,0.425,0.475,0.525,0.575,0.625,0.675,0.725,0.775,0.825,0.875,0.925,0.975
0.42,0.0030100206,0.009491915,0.023662796,0.047183216,0.076478675,0.102988265,0.11846822,0.120219275,0.111153305,0.0961574,0.07918255,0.06260027,0.047667712,0.034992635,0.024769774,0.016907357,0.011128577,0.0070634047,0.0043231375,0.0025514935
0.43,0.00289987,0.008952042,0.022076938,0.04396318,0.07174157,0.097853154,0.11441509,0.118133955,0.11104039,0.09753285,0.08150357,0.06542182,0.05064083,0.037848867,0.027321944,0.019050322,0.012830067,0.008346259,0.0052443435,0.0031829276
0.44,0.0027976977,0.008460982,0.020642592,0.041031305,0.067347,0.09293723,0.11034063,0.11582542,0.11062119,0.0986079,0.08356736,0.06804444,0.053483233,0.040645897,0.02988,0.021249557,0.014619463,0.009730298,0.006265188,0.0039026123
0.45,0.002702834,0.00801343,0.019342875,0.03835962,0.06327459,0.08825007,0.10628242,0.11333602,0.10992631,0.09940088,0.0853836,0.07046972,0.05618814,0.04337027,0.032427184,0.02348866,0.016483553,0.011206984,0.0073819696,0.0047108727
0.46,0.0026146842,0.0076047713,0.018163046,0.035922877,0.059503768,0.08379626,0.102271825,0.11070489,0.10898595,0.09993053,0.08696292,0.07270123,0.058751646,0.046011496,0.034949046,0.025752451,0.018409213,0.012766989,0.008589717,0.005606686
0.47,0.0025327157,0.0072309743,0.017090192,0.03369833,0.056014184,0.079576395,0.09833453,0.10796768,0.107829496,0.10021581,0.08831654,0.07474395,0.0611722,0.04856178,0.03743343,0.02802719,0.020383755,0.014400551,0.009882463,0.006587833
0.48,0.0024564506,0.006888505,0.016112985,0.031665493,0.05278602,0.07558789,0.09449109,0.10515646,0.10648525,0.100275666,0.089455985,0.07660389,0.06345008,0.051015653,0.039870374,0.030300677,0.022395175,0.016097778,0.01125352,0.007651066
0.49,0.0023854575,0.006574254,0.015221454,0.02980594,0.04980021,0.07182569,0.090757474,0.102299675,0.10498015,0.10012891,0.090393,0.07828768,0.06558702,0.053369608,0.042251907,0.03256229,0.024432348,0.017848913,0.012695722,0.008792301
0.5,0.0023193457,0.0062854765,0.014406812,0.028103095,0.04703861,0.06828291,0.087145664,0.09942226,0.10333954,0.09979405,0.09113934,0.07980236,0.06758576,0.055621784,0.0445719,0.034802966,0.02648514,0.019644532,0.014201661,0.010006803
0.51,0.0022577601,0.006019742,0.01366129,0.02654206,0.044484075,0.06495132,0.08366419,0.09654575,0.10158702,0.099289164,0.09170673,0.08115514,0.06944979,0.057771627,0.046825796,0.03701511,0.028544476,0.021475714,0.015763877,0.011289371
